             sip| proto|                   stime|                   etime|     flows|   packets|     bytes|
   131.247.67.45|     6|     2016-03-04 15:37:46|     2016-03-04 15:37:58|       109|      1287|    792626|
   131.247.67.45|     6|     2016-03-04 15:38:06|     2016-03-04 15:38:14|        50|       414|     50650|
   131.247.67.45|     6|     2016-03-04 15:38:21|     2016-03-04 15:38:30|        41|       342|     42837|
   131.247.67.45|     6|     2016-03-04 15:38:21|     2016-03-04 15:38:30|        59|       496|     75150|
   131.247.67.45|     6|     2016-03-04 15:38:37|     2016-03-04 15:38:46|       106|      1060|    192882|
   131.247.67.45|     6|     2016-03-04 15:38:53|     2016-03-04 15:39:02|        44|       471|    102176|
   131.247.67.45|     6|     2016-03-04 15:39:17|     2016-03-04 15:39:26|        34|       383|     47849|
   131.247.67.45|     6|     2016-03-04 15:39:34|     2016-03-04 15:39:42|        33|       259|     25140|
   131.247.67.45|     6|     2016-03-04 15:40:01|     2016-03-04 15:40:14|        57|      1147|    113534|
   131.247.67.45|     6|     2016-03-04 15:40:14|     2016-03-04 15:40:22|        33|       306|     44673|
   131.247.67.45|     6|     2016-03-04 15:40:21|     2016-03-04 15:40:29|        79|       752|    201486|
   131.247.67.45|     6|     2016-03-04 15:40:22|     2016-03-04 15:40:27|        35|       245|     30833|
   131.247.67.45|     6|     2016-03-04 15:40:37|     2016-03-04 15:40:43|        52|       461|     68326|
   131.247.67.45|     6|     2016-03-04 15:40:45|     2016-03-04 15:40:54|        49|       437|     86599|
   131.247.67.45|     6|     2016-03-04 15:41:26|     2016-03-04 15:41:32|        44|       355|     42095|
   131.247.67.45|     6|     2016-03-04 15:41:50|     2016-03-04 15:41:58|        33|       516|    171877|
   131.247.67.45|     6|     2016-03-04 15:41:51|     2016-03-04 15:41:58|        66|       636|    189164|
   131.247.67.45|     6|     2016-03-04 15:42:54|     2016-03-04 15:43:02|        49|      5950|   8275882|
   131.247.67.45|     6|     2016-03-04 15:43:11|     2016-03-04 15:43:16|        34|       253|     31664|
   131.247.67.45|     6|     2016-03-04 15:43:18|     2016-03-04 15:43:26|        74|      1122|    689241|
   131.247.67.45|     6|     2016-03-04 15:43:26|     2016-03-04 15:43:34|        54|       542|     98509|
   131.247.67.45|     6|     2016-03-04 15:43:52|     2016-03-04 15:43:58|        46|       487|    235580|
   131.247.67.45|     6|     2016-03-04 15:44:07|     2016-03-04 15:44:12|        35|       510|    356126|
   131.247.67.45|     6|     2016-03-04 15:44:22|     2016-03-04 15:44:30|        54|       402|     43701|
   131.247.67.45|     6|     2016-03-04 15:44:30|     2016-03-04 15:44:38|        34|       404|    160933|
   131.247.67.45|     6|     2016-03-04 15:44:38|     2016-03-04 15:44:46|        89|      1362|    998316|
   131.247.67.45|     6|     2016-03-04 15:45:10|     2016-03-04 15:45:19|        57|       501|     64593|
   131.247.67.45|     6|     2016-03-04 15:45:19|     2016-03-04 15:45:27|        41|       293|     47801|
   131.247.67.45|     6|     2016-03-04 15:45:34|     2016-03-04 15:45:43|        51|      1357|   1270247|
   131.247.67.45|     6|     2016-03-04 15:45:50|     2016-03-04 15:45:58|        44|       470|    217506|
   131.247.67.45|     6|     2016-03-04 15:46:22|     2016-03-04 15:46:30|        32|       473|    339545|
   131.247.67.45|     6|     2016-03-04 15:47:19|     2016-03-04 15:47:27|        35|       943|    935093|
