             sip| proto|                   stime|                   etime|     flows|   packets|     bytes|
    45.56.68.164|     6|     2016-03-09 04:43:00|     2016-03-09 15:32:44|         4|         6|       240|
   52.87.243.150|     6|     2016-03-09 05:02:58|     2016-03-09 06:37:31|         5|         6|       240|
  66.240.192.138|     6|     2016-03-09 00:40:08|     2016-03-09 23:00:52|        37|       148|     14441|
  66.240.219.146|     6|     2016-03-09 02:19:09|     2016-03-09 20:07:06|         7|         9|       360|
    71.6.135.131|     6|     2016-03-09 00:16:23|     2016-03-09 23:34:09|        30|        44|      1790|
    71.6.158.166|     6|     2016-03-09 01:00:42|     2016-03-09 23:46:31|        15|        22|       886|
    71.6.167.142|     6|     2016-03-09 00:05:22|     2016-03-09 23:34:13|        30|        56|      2768|
   74.208.10.248|     6|     2016-03-09 01:37:03|     2016-03-09 22:46:08|        16|        27|      1080|
   74.208.69.220|     6|     2016-03-09 03:03:17|     2016-03-09 19:05:32|        14|        21|       852|
  74.208.155.105|     6|     2016-03-09 08:52:55|     2016-03-09 23:51:59|         9|        17|       680|
    82.221.105.6|     6|     2016-03-09 00:25:08|     2016-03-09 18:38:59|         7|        11|       440|
    82.221.105.7|     6|     2016-03-09 05:36:43|     2016-03-09 23:20:12|         4|         7|       280|
     91.236.75.4|     6|     2016-03-09 00:09:48|     2016-03-09 23:20:54|        30|        40|      1642|
 104.128.144.131|     6|     2016-03-09 03:13:41|     2016-03-09 21:34:10|        15|        26|      1170|
 141.212.122.163|     6|     2016-03-09 12:19:39|     2016-03-09 23:38:19|         5|         6|       240|
 141.212.122.164|     6|     2016-03-09 10:42:29|     2016-03-09 23:38:23|         6|         9|       360|
 141.212.122.171|     6|     2016-03-09 14:19:30|     2016-03-09 20:40:44|         4|         5|       200|
  179.43.147.205|     6|     2016-03-09 09:29:34|     2016-03-09 22:25:52|         5|        13|       780|
  185.65.201.158|     6|     2016-03-09 00:21:35|     2016-03-09 20:16:17|         9|        13|       624|
   185.130.5.113|     6|     2016-03-09 01:12:57|     2016-03-09 12:54:58|       156|       263|     10898|
   198.20.70.114|     6|     2016-03-09 00:33:35|     2016-03-09 23:45:30|        17|        29|      1471|
  216.218.206.82|     6|     2016-03-09 05:07:58|     2016-03-09 12:10:42|         4|         7|       280|
 216.218.206.100|     6|     2016-03-09 04:54:44|     2016-03-09 15:14:42|         7|        10|       424|
